molecule_chembl_id,canonical_smiles,standard_value
CHEMBL66654,Cc1cccc(C#Cc2ccccc2)n1,36.0
CHEMBL88612,Cc1cccc(/C=C/c2ccccc2)n1,3000.0
CHEMBL2112677,[3H]C([3H])([3H])OCc1cccc(C#Cc2cccc(C)n2)c1,10.0
CHEMBL39338,N[C@@H](C[C@H](CCCC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,300000.0
CHEMBL40123,N[C@@H](C[C@H](CC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,300000.0
CHEMBL97574,C[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0
CHEMBL420262,CCCCCCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,5400.0
CHEMBL319279,NC(CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1[C@H](CCc2ccccc2)[C@@H]1C(=O)O,100000.0
CHEMBL439775,CC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0
CHEMBL99462,CCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0
CHEMBL329920,CCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0
CHEMBL319732,CCCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,56100.0
CHEMBL432038,N[C@](CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1C[C@@H]1C(=O)O,8200.0
CHEMBL95868,CCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0
CHEMBL97200,CC(C)C[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0
CHEMBL292065,Cc1nc(C#Cc2cccnc2)cs1,5.0
CHEMBL1169452,[3H]C([3H])([3H])Oc1cncc(C#Cc2ccccn2)c1,1.0
CHEMBL332396,Cc1cncc(C#Cc2csc(C)n2)c1,3.0
CHEMBL332634,COCc1cncc(C#Cc2ccccn2)c1,19.0
