molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL66654,Cc1cccc(C#Cc2ccccc2)n1,36.0,active
CHEMBL88612,Cc1cccc(/C=C/c2ccccc2)n1,3000.0,intermediate
CHEMBL2112677,[3H]C([3H])([3H])OCc1cccc(C#Cc2cccc(C)n2)c1,10.0,active
CHEMBL39338,N[C@@H](C[C@H](CCCC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,300000.0,inactive
CHEMBL40123,N[C@@H](C[C@H](CC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,300000.0,inactive
CHEMBL97574,C[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0,inactive
CHEMBL420262,CCCCCCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,5400.0,intermediate
CHEMBL319279,NC(CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1[C@H](CCc2ccccc2)[C@@H]1C(=O)O,100000.0,inactive
CHEMBL439775,CC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0,inactive
CHEMBL99462,CCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0,inactive
CHEMBL329920,CCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0,inactive
CHEMBL319732,CCCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,56100.0,inactive
CHEMBL432038,N[C@](CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1C[C@@H]1C(=O)O,8200.0,intermediate
CHEMBL95868,CCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0,inactive
CHEMBL97200,CC(C)C[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,100000.0,inactive
CHEMBL292065,Cc1nc(C#Cc2cccnc2)cs1,5.0,active
CHEMBL1169452,[3H]C([3H])([3H])Oc1cncc(C#Cc2ccccn2)c1,1.0,active
CHEMBL332396,Cc1cncc(C#Cc2csc(C)n2)c1,3.0,active
CHEMBL332634,COCc1cncc(C#Cc2ccccn2)c1,19.0,active
CHEMBL1169453,[3H]C([3H])([3H])OCc1cncc(C#Cc2csc(C)n2)c1,7.0,active
CHEMBL94631,Cc1cc(C(=O)O)ccc1[C@H](N)C(=O)O,300000.0,inactive
CHEMBL329905,Cc1cc(C(=O)O)c(O)cc1C(N)C(=O)O,300000.0,inactive
CHEMBL94990,N[C@H](C(=O)O)c1ccc(C(=O)O)cc1,155000.0,inactive
CHEMBL313124,Cc1c(C(N)C(=O)O)ccc(C(=O)O)c1O,100000.0,inactive
CHEMBL59686,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccc(Cl)c(Cl)c2)C1,99000.0,inactive
CHEMBL60238,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccccc2)C1,300000.0,inactive
CHEMBL59830,CCN1C[C@@](N)(C(=O)O)C[C@@H]1C(=O)O,300000.0,inactive
CHEMBL61281,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccc3ccccc3c2)C1,300000.0,inactive
CHEMBL418650,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(CC2CCCCC2)C1,300000.0,inactive
CHEMBL293434,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccccc2-c2ccccc2)C1,300000.0,inactive
CHEMBL302411,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2cccc3ccccc23)C1,300000.0,inactive
CHEMBL300330,CN1C[C@@](N)(C(=O)O)C[C@@H]1C(=O)O,300000.0,inactive
CHEMBL60008,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2cccc(Cl)c2)C1,300000.0,inactive
CHEMBL59920,N[C@]1(C(=O)O)C[C@H](C(=O)O)N(Cc2ccc(Cl)cc2Cl)C1,300000.0,inactive
