,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL66654,Cc1cccc(C#Cc2ccccc2)n1,active,193.24900000000002,2.7898200000000006,0.0,1.0,-1.5563025007672873
1,CHEMBL88612,Cc1cccc(/C=C/c2ccccc2)n1,intermediate,195.26500000000001,3.5604200000000024,0.0,1.0,-3.4771212547196626
2,CHEMBL2112677,[3H]C([3H])([3H])OCc1cccc(C#Cc2cccc(C)n2)c1,active,243.32614783399998,2.9362200000000014,0.0,2.0,-1.0
3,CHEMBL39338,N[C@@H](C[C@H](CCCC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,inactive,355.43400000000014,3.491600000000001,3.0,3.0,-5.477121254719663
4,CHEMBL40123,N[C@@H](C[C@H](CC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,inactive,327.3800000000001,2.7114000000000003,3.0,3.0,-5.477121254719663
5,CHEMBL97574,C[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,inactive,367.4010000000001,3.0631000000000013,3.0,4.0,-5.0
6,CHEMBL420262,CCCCCCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,intermediate,479.6170000000002,6.183900000000005,3.0,4.0,-3.7323937598229686
7,CHEMBL319279,NC(CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1[C@H](CCc2ccccc2)[C@@H]1C(=O)O,inactive,457.5260000000002,4.676000000000003,3.0,4.0,-5.0
8,CHEMBL439775,CC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,inactive,381.4280000000001,3.4532000000000016,3.0,4.0,-5.0
9,CHEMBL99462,CCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,inactive,395.45500000000015,3.843300000000003,3.0,4.0,-5.0
10,CHEMBL329920,CCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,inactive,423.5090000000001,4.623500000000003,3.0,4.0,-5.0
11,CHEMBL319732,CCCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,inactive,437.5360000000002,5.013600000000003,3.0,4.0,-4.748962861256161
