action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,489503,[],CHEMBL715727,In vitro for inhibitory activity of compound against recombinant Metabotropic glutamate receptor 5 evaluated as inhibition of quisqualate-stimulated phosphoinositide (PI) hydrolysis,F,,,BAO_0000190,BAO_0000019,assay format,Cc1cccc(C#Cc2ccccc2)n1,,,CHEMBL1135040,Bioorg Med Chem Lett,2002,,CHEMBL66654,,CHEMBL66654,7.44,1,http://www.openphacts.org/units/Nanomolar,252050,=,1,1,=,,IC50,nM,,36.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,36.0
,,489504,[],CHEMBL711710,"Tested in vitro binding affinity for displacement of [3H]M-MPEP from membrane of L(-tk) cells expressing the Metabotropic glutamate receptor 5, activity expressed as IC50",B,,,BAO_0000190,BAO_0000019,assay format,Cc1cccc(C#Cc2ccccc2)n1,,,CHEMBL1135040,Bioorg Med Chem Lett,2002,"{'bei': '39.84', 'le': '0.70', 'lle': '4.91', 'sei': '59.73'}",CHEMBL66654,,CHEMBL66654,7.70,0,http://www.openphacts.org/units/Nanomolar,252050,=,1,1,=,,IC50,nM,,20.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,20.0
,,496491,[],CHEMBL715727,In vitro for inhibitory activity of compound against recombinant Metabotropic glutamate receptor 5 evaluated as inhibition of quisqualate-stimulated phosphoinositide (PI) hydrolysis,F,,,BAO_0000190,BAO_0000019,assay format,Cc1cccc(/C=C/c2ccccc2)n1,,,CHEMBL1135040,Bioorg Med Chem Lett,2002,,CHEMBL88612,,CHEMBL88612,5.52,0,http://www.openphacts.org/units/Nanomolar,252051,=,1,1,=,,IC50,nM,,3000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,3000.0
,,496492,[],CHEMBL711710,"Tested in vitro binding affinity for displacement of [3H]M-MPEP from membrane of L(-tk) cells expressing the Metabotropic glutamate receptor 5, activity expressed as IC50",B,,,BAO_0000190,BAO_0000019,assay format,Cc1cccc(/C=C/c2ccccc2)n1,,,CHEMBL1135040,Bioorg Med Chem Lett,2002,"{'bei': '30.52', 'le': '0.54', 'lle': '2.40', 'sei': '46.23'}",CHEMBL88612,,CHEMBL88612,5.96,0,http://www.openphacts.org/units/Nanomolar,252051,=,1,1,=,,IC50,nM,,1100.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,1100.0
,,508727,[],CHEMBL715727,In vitro for inhibitory activity of compound against recombinant Metabotropic glutamate receptor 5 evaluated as inhibition of quisqualate-stimulated phosphoinositide (PI) hydrolysis,F,,,BAO_0000190,BAO_0000019,assay format,[3H]C([3H])([3H])OCc1cccc(C#Cc2cccc(C)n2)c1,,,CHEMBL1135040,Bioorg Med Chem Lett,2002,,CHEMBL2112677,,CHEMBL2219504,8.00,0,http://www.openphacts.org/units/Nanomolar,252049,=,1,1,=,,IC50,nM,,10.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,10.0
,,508728,[],CHEMBL711710,"Tested in vitro binding affinity for displacement of [3H]M-MPEP from membrane of L(-tk) cells expressing the Metabotropic glutamate receptor 5, activity expressed as IC50",B,,,BAO_0000190,BAO_0000019,assay format,[3H]C([3H])([3H])OCc1cccc(C#Cc2cccc(C)n2)c1,,,CHEMBL1135040,Bioorg Med Chem Lett,2002,"{'bei': '35.58', 'le': '0.64', 'lle': '5.50', 'sei': '38.17'}",CHEMBL2112677,,CHEMBL2219504,8.44,0,http://www.openphacts.org/units/Nanomolar,252049,=,1,1,=,,IC50,nM,,3.6,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,nM,UO_0000065,,3.6
,,512166,[],CHEMBL715729,Tested for agonist activity in non-neuronal cells (RGT) expressing human Metabotropic glutamate receptor 5 by measuring ACPD (100 uM)-stimulated phosphoinositide hydrolysis,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@@H](C[C@H](CCCC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131280,Bioorg Med Chem Lett,1998,,CHEMBL39338,,CHEMBL39338,,0,http://www.openphacts.org/units/Nanomolar,324009,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,537298,[],CHEMBL715730,Tested for agonist activity in non-neuronal cells (RGT) expressing human Metabotropic glutamate receptor 5 by measuring ACPD (100 uM)-stimulated phosphoinositide hydrolysis,F,,,BAO_0000190,BAO_0000219,cell-based format,N[C@@H](C[C@H](CC(c1ccccc1)c1ccccc1)C(=O)O)C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1131280,Bioorg Med Chem Lett,1998,,CHEMBL40123,,CHEMBL40123,,0,http://www.openphacts.org/units/Nanomolar,324011,>,1,1,>,,IC50,nM,,300000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,300.0
,,593886,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,C[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL97574,,CHEMBL97574,,0,http://www.openphacts.org/units/Nanomolar,179220,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,100.0
,,595067,[],CHEMBL712881,Antagonistic activity against metabotropic glutamate receptor 5 (mGluR5) was evaluated,F,,,BAO_0000190,BAO_0000019,assay format,CCCCCCCCC[C@@H]1[C@H](C(=O)O)[C@H]1C(N)(CC1c2ccccc2Oc2ccccc21)C(=O)O,,,CHEMBL1130627,Bioorg Med Chem Lett,1998,,CHEMBL420262,,CHEMBL420262,5.27,0,http://www.openphacts.org/units/Nanomolar,179213,=,1,1,=,,IC50,nM,,5400.0,CHEMBL3227,Homo sapiens,Metabotropic glutamate receptor 5,9606,,,IC50,uM,UO_0000065,,5.4
